date,value
336,186.76
337,114.84
338,135.81
339,120.08
340,115.13
341,178.87
342,192.04
343,194.86
344,163.63
345,118.52
346,166.72
347,118.53
348,130.85
349,157.12
350,189.01
351,104.6
352,162.05
353,154.72
354,159.95
355,103.69
356,180.47
357,195.28
358,140.31
359,140.52
360,121.59
361,191.67
362,101.91
363,168.41
364,167.17
365,140.74
366,159.32
367,101.3
368,115.54
369,150.26
370,107.69
371,107.05
372,180.06
373,125.62
374,177.56
375,136.42
376,155.71
377,188.28
378,126.85
379,180.67
380,133.35
381,138.23
382,131.42
383,129.93
384,187.03
385,150.92
386,145.53
387,189.58
388,142.76
389,132.1
390,194.26
391,101.39
392,188.95
393,153.33
394,132.92
395,172.47
396,118.4
397,133.13
398,135.19
399,160.15
400,145.81
401,174.19
402,157.73
403,124.48
404,178.76
405,152.76
406,141.98
407,123.93
408,193.46
409,135.96
410,170.33
411,197.94
412,178.63
413,137.11
414,132.86
415,100.56
416,113.33
417,101.12
418,125.98
419,109.02
420,119.03
421,134.92
422,118.53
423,104.18
424,103.01
425,157.91
426,160.59
427,151.76
428,121.11
429,172.55
430,153.69
431,161.45
432,139.65
433,181.7
434,183.27
435,168.79
436,100.88
437,132.59
438,185.22
439,143.94
440,190.48
441,117.85
442,148.45
443,100.33
444,164.77
445,127.16
446,106.87
447,129.85
448,177.31
449,151.58
450,193.06
451,168.15
452,167.3
453,121.82
454,153.27
455,146.92
456,163.39
457,155.48
458,169.97
459,186.53
460,172.31
461,101.45
462,168.35
463,179.3
464,131.94
465,112.46
466,119.24
467,169.22
468,158.79
469,193.93
470,176.48
471,147.23
472,134.84
473,136.49
474,151.56
475,175.57
476,162.82
477,162.64
478,114.56
479,154.85
480,186.92
481,163.0
482,183.69
483,133.79
484,142.8
485,160.33
486,151.25
487,174.83
488,148.76
489,150.62
490,180.05
491,163.14
492,158.72
493,143.48
494,198.8
495,197.76
496,149.12
497,112.17
498,112.37
499,116.64
500,133.56
501,135.85
502,138.96
503,104.84
504,122.76
505,191.59
506,125.53
507,178.45
508,122.03
509,114.67
510,168.62
511,129.92
512,126.43
513,121.11
514,172.25
515,172.87
516,125.72
517,169.34
518,171.56
519,175.2
520,137.97
521,185.13
522,177.65
523,165.73
524,102.55
525,190.72
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
